id,firstname,surname,date_of_birth,date_of_death,place_of_birth,place_of_death,place_of_birth_original_name,place_of_death_original_name,remark,sex,pseudonym_for_id
308,Eliška,Krásnohorská,1847-11-18,1926-11-26,Praha,Praha,,,,F,
309,Josef V.,Kalaš,1850-03-19,1930-07-08,Dráchov (u Veselí nad Lužnicí),Praha,,,,M,
310,Karel,Kraus,,,,,,,,M,
311,Petr,Křička,1884-12-04,1949-07-25,Kelč (u Valašského Meziříčí),Okarec (u Třebíče),,,,M,
312,Louis,Křikava,1873-12-12,1920-07-03,Přeštice (u Plzně),Praha,,,,M,
313,Václav,Kropáček,1841-12-25,1864-06-08,Rakovník,Rakovník,,,,M,
314,Rudolf,Krupička,1879-12-04,1951-10-20,Starkoč (u Čáslavi),Kutná Hora,,,,M,
317,Josef,Kubelka,1868-11-20,1894-07-20,Borovnice-Přestavlky (u Kostelce nad Orlicí),Chrudim,Přestavlky (u Kostelce nad Orlicí),,,M,
318,František,Kubka,1894-03-04,1969-01-07,Praha-Žižkov,Praha,Žižkov,,,M,
319,Arnošt,Kučera,1877-06-03,1912-04-24,Praha-Vinohrady,Praha-Vršovice,Královské Vinohrady,Vršovice,,M,
320,Karel,Kučera,1854-09-30,1915-10-11,Luštěnice (u Mladé Boleslavi),Dašice (u Pardubic),,,,M,
321,Josef,Kuchař,1847-11-14,1926-05-26,Dobruška-Chábory,Praha,Chábory,,,M,
322,Beneš Metod,Kulda,1820-03-16,1903-05-06,Ivančice,Praha,,,,M,
323,František,Kvapil,1855-02-16,1925-10-19,Žhery (u Českého Brodu),Praha,,,,M,
325,Jaroslav,Kvapil,1868-09-25,1950-01-10,Chudenice (u Klatov),Praha,,,,M,
326,Bohuslav,Květ,1875-01-18,1933-11-15,Dubečno (u Městce Králové),Říčany (u Prahy),,,,M,
327,Luděk,Květenský,,,,,,,,M,
328,František,Kyselý,1857-01-12,1937-10-22,Kudlovice (u Uherského Hradiště),Hradišťko (u Štěchovic),,,,M,
330,Miloslav,Ladinský,,,,,,,,M,
331,Josef Jaroslav,Langer,1806-11-12,1846-04-28,Bohdaneč (u Pardubic),Bohdaneč (u Pardubic),,,,M,
332,Karel,Lang,,,,,,,,M,
333,Bohumil,Janda Cidlinský,1831-05-01,1875-09-29,Pátek (u Poděbrad),Poděbrady,,,,M,
334,Eduard,Lederer,1859-07-15,,Chotoviny (u Tábora),Terezín (koncentrační tábor),,,Datum úmrtí: červen 1944,M,
335,Jaroslav,Ledeč,,,,,,,,M,
336,Karel,Leger,1859-09-21,1934-04-05,Kolín,Kolín,,,,M,
337,Hanuš,Lejsek,,,,,,,,M,
338,Jindřich,Leminger,,,,,,,,M,
341,Emanuel,Lešehrad,1877-11-15,1955-04-30,Praha,Praha,,,,M,
342,Vojtěch,Lešetický,1830-04-24,1908-01-05,Netolice,Praha-Vinohrady,,Královské Vinohrady,,M,
343,Štěpán,Leška,1757-10-21,1818-02-25,Vrbovce (u Myjavy),Kiskörös (Maďarsko),,Malý Kéreš (Maďarsko),,M,
344,František,Leubner,1867-08-13,1930-01-29,Dolní Beřkovice (u Mělníka),Dolní Beřkovice-Vliněves (u Mělníka),,Vliněves (u Mělníka),,M,
345,Hermor,Lilia,,,,,,,,M,
346,Ladislav,Linhart,1892-12-16,1913-06-10,Praha,Praha,,,,M,
347,Václav,Lípa,,,,,,,Zjistit o jakého Václava Lípu se jedná (?) in DČLO,M,
348,Jaroslav,Lisec,,,,,,,,M,
349,Karel,Lomnický,,,,,,,,M,
350,Ludvík,Lošťák,1862-03-01,1918-10-17,Nové Mitrovice (u Blovic),Praha,,,,M,
351,Augustin F.,Lubas,1880-12-02,1951-07-06,Dětenice,Česká Lípa,,,In DČLO,M,
352,Josef,Lukavský,1874-08-20,1930-03-12,Podlesí (u Příbrami),Praha,,,,M,
353,Augustin,Lužný,1867-08-02,1938-12-21,Unčovice,Litultovice,,,In DČLO,M,
354,Antonín,Macek,1872-06-17,1923-05-22,Mladá Boleslav,Praha,,,,M,
355,Simeon Karel,Macháček,1799-12-10,1846-10-02,Praha,Praha,,,,M,
356,Karel Hynek,Mácha,1810-11-16,1836-11-06,Praha,Litoměřice,,,,M,
357,Josef Svatopluk,Machar,1864-02-29,1942-03-17,Kolín,Praha,,,,M,
358,Gustav,Mach,1872-12-21,,Praha,Ústí nad Orlicí,,,Vl.jm. = Gustav Žalud; datum úmrtí: 25.06.1928 nebo 25.03.1928; in DČLO,M,
359,Josef,Mach,1883-02-05,1951-11-08,Loučeň (u Nymburka),Praha,,,,M,
360,Vladimír,Mach,,,,,,,,M,
361,Jiří,Mahen,1882-12-12,1939-05-22,Čáslav,Brno,,,,M,
362,František,Malač,,,,,,,,M,
363,Jan,Malý,,,,,,,Zjistit jedná-li se o Jan V. Malý in DČLO?,M,
364,Z.,Maník,,,,,,,,M,
365,Pavel,Maran,,,,,,,,M,
366,Antonín,Marek,1785-09-05,1877-02-15,Turnov,Praha-Smíchov,,Smíchov,,M,
367,Tomáš Miloslav,Marek,,,,,,,,M,
369,Michal,Mareš,1893-01-22,1971-02-17,Teplice,Praha,Teplice-Šanov,,,M,
370,Michal J.,Mareš,,,,,,,Viz ř. 370,M,
371,Ruda,Mařík,1878-06-22,1933-04-02,Písek,Praha,,,,M,
372,Ferdinand,Marjánko,1845-05-31,1903-05-13,Kosmonosy,Praha,,,In DČLO,M,
373,Josef,Maršálek,,,,,,,,M,
374,Mikuláš,Maršálek,,,,,,,,M,
375,Jaroslav,Martinec,1842-08-20,1924-04-09,Praha,Praha,,,,M,
376,Vojtěch,Martínek,1887-04-11,1960-04-25,Brušperk (u Frýdku-Místku),Ostrava,,,,M,
377,J. Kyril,Maryša,,,,,,,,M,
378,Emanuel,Masák,1883-12-25,1964-09-24,Lazinov (u Letovic),Brno,,,,M,
379,Karel,Mašek,1867-12-29,1922-10-12,Praha,Praha,,,,M,
380,Pavla,Maternová,1858-12-14,1923-04-19,Praha,Praha,,,,F,
381,Bohumil,Mathesius,1888-07-14,1952-06-02,Praha,Praha,,,,M,
382,Jan,Matoušek,,,,,,,,M,
383,Rudolf,Mayer,1837-10-13,1865-08-12,Zavlekov-Skránčice (u Klatov),Loučim (u Klatov),Skránčice (u Klatov),Loučím (u Klatov),,M,
384,J.XX,Mazes,,,,,,,,M,
385,Rudolf,Medek,1890-01-08,1940-08-22,Hradec Králové,Praha,,,,M,
386,Martin,Medňánský,,,,,,,,M,
387,Václav,Melezínek,1743-08-21,,Chroustovice (u Vysokého Mýta,?,,,Datum a místo úmrtí: Neuvedeno in Lexikon,M,
388,Josef Jaroslav,Melichar,1819-09-06,1862-12-01,Obora (u Nového Bydžova),Pula (Chorvatsko),,,,M,
390,Antonie,Menčlová,1887-02-15,1955-03-03,Ústí nad Labem,Praha,,,,F,
391,František Ladislav,Menhard Litoměřický,1857-12-10,1909-01-24,Litoměřice,Praha,,,,M,
393,Josef,Merhaut,1863-10-13,1907-09-05,Zbiroh (u Berouna),Brno,,,,M,
394,František,Merta,1872-10-04,1953-03-25,Dubicko,Brno,,,In DČLO,M,
397,Emanuel,Miřiovský,1846-12-24,1911-01-10,Jindřichův Hradec,Praha-Vinohrady,,Královské Vinohrady,,M,
398,Ferdinand,Pěčka,1861-10-08,1937-12-25,Frýdek-Místek,Frýdek-Místek,Místek,Místek,,M,
399,Otakar,Mokrý,1854-05-25,1899-01-01,České Budějovice,Vodňany,,,Otokar Mokrý in Lexikon,M,
401,Karel,Motejl-Lomnický,,,,,,,,M,
402,Josef,Mottl,,,,,,,Zjistit o jakého Josefa Mottla se jedná in DČLO (?),M,
403,Vladímír,Mrazík,,,,,,,,M,
404,Stanislav,Mráz,1864-08-08,1918-10-15,Praha,Praha-Košíře,,Košíře,,M,
405,Vilém,Mrštík,1863-05-14,1912-03-02,Jimramov,Diváky (u Hustopečí),,,,M,
406,Berta,Mühlsteinová,1841-07-30,1887-08-24,Velvary,Praha,,,,F,
407,Josef,Müldner,1880-08-21,1954-04-14,Praha-Libeň,Praha,Stará Libeň,,,M,
408,Augustin Eugen,Mužík,1859-05-15,1925-03-31,Hradec Králové-Nový Hradec Králové,Praha,Nový Hradec Králové,,,M,
409,Pavel,Nach,1878-06-05,1901-04-24,Žumberk,Chrudim,,,Vl.jm. = Karel Bačkovský; in DČLO,M,
411,Václav Bolemír,Nebeský,1818-08-18,1882-08-17,Jestřebice (u Kolína),Praha,,,,M,
412,Jan Evangelista,Nečas,1849-12-25,1919-01-30,Studnice (u Nového Města na Moravě),Brno,,,,M,
413,Jaromír,Nečas,,,,,,,Zjistit o jakého Jaromíra Nečase se jedná in DČLO (?),M,
414,Karel,Nejč,1875-07-22,1900-03-15,Cvrčovice (u Kladna),Brandýsek (u Kladna),,,,M,
415,Jan,Nejedlý,1776-04-23,1834-12-31,Žebrák,Praha,,,,M,
416,Julius R.,Nejedlý,1847-04-12,1909-07-04,Brandýs nad Labem,Praha-Liboc,,Liboc (u Prahy),,M,
417,Vojtěch,Nejedlý,1772-04-17,1844-12-07,Žebrák,Žebrák,,,,M,
418,Božena,Němcová,1820-02-04,1862-01-21,Vídeň (Rakousko),Praha,,,,F,
419,Jan,Neruda,1834-07-09,1891-08-22,Praha,Praha,,,,M,
420,Stanislav Kostka,Neumann,1875-06-05,1947-06-28,Praha,Praha,,,,M,
421,August Vojtěch,Nevšímal,1847-08-26,1916-06-27,Vlašim,Praha,,,,M,
423,Jan,Nosek-Zádvorský,1849-12-30,1921-09-29,Lomnice nad Popelkou (u Jičína),Libáň,,,Vl.jm. = Jan Nosek; in DČLO,M,
424,Arne,Novák,1880-03-02,1939-11-26,Litomyšl,Polička,,,,M,
425,František,Novák,1867-10-08,1915-10-25,Telč,Boleradice (u Hustopečí),,,,M,
428,Slavoslav,Novák,,,,,,,,M,
429,Vojtěch,Novotný,1823-11-23,1853-04-17,Jindřichův Hradec,Hůrky,,,In DČLO,M,
430,Karel,Nový,1890-12-08,1980-11-23,Benešov,Praha,,,,M,
431,František,Odvalil,1880-10-03,1938-01-14,Jaroměřice (u Jevíčka),Jaroměřice (u Jevíčka),,,,M,
432,Jiří,Opočenský,1781-01-22,1842-01-05,Peřimov (u Jilemnice),Jimramov,,,,M,
433,Jan,Opolský,1875-07-15,1942-05-20,Nová Paka,Praha,,,,M,
434,Čechoslav,Ostravický,1869-06-12,1912-05-05,Frýdek-Místek,Cleveland (USA),Frýdek,,,M,
435,Otomar,Viglic,1867-11-07,1946-12-01,Požega (Slavonie),Přerov,,,"Místo narození: Chorvatsko?, Srbsko? (Slavonie je historické území dnes rozdělené mezi Chorvatsko i Srbsko)",M,
436,Josef,Pachmayer,1864-05-16,1928-07-31,Dnešice (u Přeštic),Praha,,,,M,
437,Vojtěch,Pakosta,1846-04-14,1892-07-10,Deštná (u Soběslavi),Písek,,,,M,
438,František,Palacký,1798-06-14,1876-05-26,Hodslavice (u Nového Jičína),Praha,,,,M,
439,Jan,Palacký,1830-10-10,1908-02-23,Praha,Praha,,,In DČLO,M,
440,Emil Julie,Pala,,,,,,,,M,
441,Ondřej,Palák,,,,,,,,M,
442,Jan Duchoslav,Panýrek,1839-06-19,1903-08-18,Lhotky (u Březnice),Hradec Králové,,,,M,
443,Otakar Georgius,Paroubek,1856-03-14,1909-04-04,Sadská (u Poděbrad),Praha-Krč,,Krč,,M,
444,Jaroslav,Pasovský,1890-03-17,1965-09-05,Praha,Beroun,,,,M,
445,Michal Silorad,Patrčka,1787-07-21,1838-04-25,Solnice (u Rychnova nad Kněžnou),Jaroměř,,,,M,
446,Jan,Patrný,1877-02-06,1929-03-18,Jaroměř,Praha,,,,M,
447,Antonín,Pavelčík,1869-10-10,,Dolní Nětčice,?,Dolní Něčice,,"Datum a místo úmrtí: 27.07.1929 nebo 28.07.1929 nebo 1919, Slatinice (v matrice nenalezen); in DČLO",M,
448,Jakub,Pavelka,1865-07-19,1934-10-19,Vážany nad Litavou,?,Linhratské Vážany,,In DČLO,M,
449,Marie,Pavlíčková,1876-11-02,,Grygov,?,,,In DČLO,F,
450,Jaromír Stanislav,Pavlík,1865-09-22,1938-12-23,Starý Jičín,Rejvíz,,,In DČLO,M,
451,Vlastimil,Pavlík,,,,,,,,M,
452,Vilém,Peča,1879-12-07,1900-10-07,Sobotka,Libošovice,,,In DČLO,M,
454,Jan Bohumil,Peclinovce,,,,,,,Viz ř. 95,M,
455,Vojtěch,Pekař,,,,,,,,M,
456,Jan,Pelikán,,,,,,,Zjistit o jakého Jana Pelikána se jedná (?) in DČLO,M,
457,Jan,Pelíšek,1850-01-18,1916-06-16,Olešnice (u Kunštátu),Semtěš (u Čáslavi),,,,M,
459,Bedřich,Peška,1820-10-25,1904-06-15,Ústí nad Orlicí,Praha,,,,M,
461,Gustav,Pfleger Moravský,1833-07-27,1875-09-20,Karasín (u Nového Města na Moravě),Praha,Karasejn (u Nového Města na Moravě),,,M,
462,Václav Jaromír,Picek,1812-11-13,1869-11-26,Svijanský Újezd (u Turnova),Benátky nad Jizerou,Oujezd (u Turnova),Nové Benátky,,M,
463,Herma,Pilbauerová,1867-02-15,1902-10-31,Stupno (u Rokycan),Praha,Horní Stupno (u Rokycan),,,F,
464,Karel,Pippich,1849-04-21,1921-03-29,Zlonice (u Slaného),Chrudim,,,,M,
465,Ferdinand,Písecký,1879-11-25,1934-10-25,Praha-Žižkov,Bratislava,Žižkov,,,M,
467,M.,Podkonický,,,,,,,,M,
468,Václav Alexander,Pohan,1791-09-05,1850-07-25,Pelhřimov,Olbramovice (u Votic),,,,M,
469,Josef Václav,Pokorný,1842-03-15,1933-02-02,Kutná Hora,Kutná Hora,,,,M,
471,Rudolf,Pokorný,1853-04-18,1887-09-19,Heřmanův Městec,Libochovice,,,,M,
472,Václav,Pok Poděbradský,1829-09-23,1898-10-23,Poděbrady,Praha,,,,M,
473,Josef Jiří,Stankovský,1844-11-11,1879-12-10,Vysoká (u Příbrami),Praha,Kamenná Vysoká (u Příbrami),,Josef Jiří Stankovský in Lexikon,M,
474,František Ladislav,Polák,,,,,,,,M,
475,Milota Zdirad,Polák,1788-02-14,1856-03-31,Zásmuky (u Kouřimi),Wiener Neustadt (Rakousko),,Vídeňské Nové Město,,M,
476,J. B.,Polom,1859-06-05,1931-02-14,Jičín,Praha,,,Vl.jm. = Jan Beránek; in DČLO,M,
477,Stanislav,Popelka,,1945-02-12,Brno,Praha,,,Datum narození: 04.08.1895 nebo 1892; in DČLO,M,
478,Alois,Potěhník,1829-04-18,1898-10-30,Bohousová (u Žamberka),Častolovice (u Rychnova nad Kněžnou),Bohousov (u Žamberka),,,M,
479,Martin Alexander,Přibil,1803-12-14,1871-02-07,Slaný,Berlín (Německo),,,,M,
480,P. J.,Přibylovský,,,,,,,,M,
481,Arnošt,Procházka,1869-11-15,1925-01-16,Praha,Praha,,,,M,
482,František Serafínský,Procházka,1861-01-15,1939-01-28,Náměšť na Hané (u Olomouce),Praha,,,,M,
483,Karel Vojtěch,Prokop,1860-05-13,1914-12-02,Hněvkovice (u Havlíčkova Brodu),Rosice (u Brna),Budeč (u Havlíčkova Brodu),,,M,
484,Otakar,Prokoš,1859-10-10,1888-12-30,Nová Bystřice,Kamenný Újezd,,,In DČLO,M,
485,Jaroš,Prošek,,,,,,,,M,
486,Josef,Prušák,,,,,,,,M,
488,František,Ptáček,1893-05-06,1977-06-14,Praha,?,,,In DČLO,M,
489,Bohuslav,Ptačovský,1844-07-17,1867-01-04,Kutná Hora,Kutná Hora,,,In DČLO,M,
490,Antonín Jaroslav,Puchmajer,1769-01-07,1820-09-29,Týn nad Vltavou,Praha,,,,M,
491,Josef,Puchmayer,,,,,,,,M,
492,Ladislav,Quis,1846-02-07,1913-09-01,Čáslav,Horní Černošice (u Prahy),,,,M,
493,Václav Věnceslav,Ráb,1804-01-14,1838-12-19,Benátky nad Jizerou,Benátky nad Jizerou,,,,M,
494,Adolf,Racek,1876-04-22,1947-05-17,Vsetín,Praha,,,,M,
495,Viktor Jiří,Radešínský,,,,,,,,M,
496,Karel Václav,Rais,1859-01-04,1926-07-08,Lázně Bělohrad,Praha,,,,M,
497,František,Rajman,1762-03-08,1829-01-03,Jičín,Častolovice (u Rychnova nad Kněžnou),,,,M,
498,,Rašin,,,,,,,,M,
499,Arnošt,Ráž,1884-02-20,1925-01-20,Slavětín (u Loun),?,,,Místo úmrtí: sanatorium na Pleši u Dobříše,M,
500,Jaroslav,Řehulka,1886-12-31,1961-01-19,Osek nad Bečvou,Osek nad Bečvou,Osek,Osek,,M,
501,František,Richtr,1889-12-14,1967-06-25,Horní Cerekev (u Pelhřimova),Ústí nad Labem,,,Fráňa Richter in Lexikon,M,
502,Josef E.XX,Říha,1890-07-28,1975-09-02,Poboří,Praha,,,Celé jméno = Josef Emil Říha; in DČLO,M,
503,Václav,Říha,,,,,,,"Jedná se o Václava Tilleho, který měl pseud. Václav Říha? Příspěvek v ČEKu, ale není u Tilleho in Lexikon uveden..",M,
505,Ritterová Jindřiška,Rittersberka,1811-09-23,1880-08-15,Terezín,Praha,,,Henrietta Ritterová z Rittersberku in Lexikon,M,
506,František,Roháček,1860-11-22,1904-08-23,Vedrovice (u Moravského Krumlova),Brno,,,,M,
507,František Alexandr,Rokos,1797-03-25,1852-05-03,Loděnice (u Berouna),Dřevčice (u Brandýsa nad Labem),,,,M,
509,Adolf,Černý,1864-08-19,1952-12-27,Hradec Králové,Praha,,,,M,
510,Gabriel,Ronaj,1876-01-02,1951-03-17,Blatnice (na Moravě),Zlobice,,,Vl.jm. = Jan Benedikt Bogar; in DČLO,M,
511,Josef,Rosenzweig-Moir,1887-08-24,,Neustupov (u Votic),?,,,Datum a místo úmrtí: po 12.10.1944 asi koncentrační tábor Osvětim,M,
512,Jaroslav,Rouček,1874-05-18,1948-02-25,?,Brno,,,Místo narození: Otvovice nebo Vepřek; in DČLO,M,
513,Karel,Rožek,1876-11-01,1913-06-11,Pardubice,Praha,,,,M,
514,Augusta,Rozsypalová,1857-02-19,1925-11-23,Jirkov,Praha,,,In DČLO,F,
515,Josef,Ruben,,,,,,,,M,
516,František Jaromír,Rubeš,1814-01-16,1853-08-10,Čížkov (u Pelhřimova),Skuteč,,Skutče,,M,
517,Jiří,Ruda,1877-09-08,1955-01-28,Kladno,Kladno-Rozdělov,,,,M,
518,Miroslav,Rutte,1889-07-10,1954-11-24,Praha,Praha,,,,M,
519,Anna Vlastimila,Růžičková,1823-07-09,1869-12-10,Plzeň,Praha,,,,F,
520,Jakub Jan,Ryba,1765-10-26,1815-04-08,Přeštic (u Klatov),Rožmitál pod Třemšínem,,,,M,
521,František,Rybář,1878-09-23,1934-05-12,Chrudim,?,,,In DČLO,M,
522,František Jaroslav,Rypáček,1853-10-07,1917-05-30,Březnice-Hodětín (u Bechyně),Brno,Hodětín (u Bechyně),,,M,
523,Tomáš,Ryšánek,,,,,,,,M,
524,Karel,Sabina,1813-12-29,1877-11-09,Praha,Praha,,,,M,
525,Pavel Josef,Šafařík,1795-05-13,1861-06-26,"Kobeliarovo (u Rožňavy, Slovensko)",Praha,,,,M,
526,Václav,Šafr,,,,,,,,M,
527,Jan,Šanda,1889-11-03,,Vůsí,České Budějovice,,,Datum úmrtí: 1969; in DČLO,M,
528,Maryša,Šárecká,1890-12-06,1958-10-15,Praha,Praha,,,,F,
529,B.XX M.XX,Satalický,,,Satalice (u Prahy),Praha-Bubeneč,,Bubeneč,Datum narození a úmrtí: 1879 a 1906; vl.jm.: Bohumil Metod Hedrlin; in Lexikon v hesle Rudolf Schuster,M,
530,Anna,Kavalírová-Fričová,1825-04-18,1893-03-15,Těchobuz (u Pelhřimova),Praha-Vinohrady,,Královské Vinohrady,,F,
531,V.,Sázavský,,,,,,,,M,
532,Karel,Scheinpflug,1869-12-28,1948-05-05,Slaný,Mariánské Lázně,,,,M,
533,Lev,Scholz,1861-04-11,1907-02-07,Olomouc,Praha,,,In DČLO,M,
534,Ferdinand,Schulz,1835-01-17,1905-02-16,Ronov nad Doubravou (u Čáslavi),Praha,Ronov (u Čáslavi),,,M,
535,Růžena,Schwarzová,1892-01-10,1973-01-03,České Budějovice,Praha,,,,F,
536,František,Sekanina,1875-02-15,1958-03-03,Žárovce (u Prostějova),Smečno (u Kladna),,,,M,
537,Karel,Šelepa,1885-01-31,1969-05-05,Příbraz (u Jindřichova Hradce),Praha,,,,M,
538,Vratislav Kazimír,Šembera,1844-03-04,1891-12-04,Olomouc,Vídeň (Rakousko),,,,M,
539,Jan Eugen,Sequardt,1888-10-13,1960-04-17,Vodňany,Vodňany,,,,M,
540,J.XX M.XX,Šerý,1881-05-04,1964-09-16,Votice,Praha,,,Jarmil M. Šerý in Lexikon,M,
541,Miloslav,Silen,1877-08-29,1930-06-26,Prostějov,Hradec Králové,,,Vl.jm. = Karel Novotný; in DČLO,M,
542,Matěj Anastazia,Šimáček,1860-02-05,1913-02-12,Praha,Praha,,,,M,
543,Josef,Šimánek,1883-03-16,1959-11-16,Jindřichův Hradec,Praha,,,,M,
544,František,Šimeček,1842-03-22,1877-09-25,Mlýny (u Soběslavi),Praha,,,,M,
545,Anna,Simerská,1878-02-03,1929-03-09,Praha-Smíchov,Pečky,Smíchov,,In DČLO,F,
546,Fanda,Šimková-Uzlová,1881-11-13,1906-11-13,Olešnice,Mutěnice,,,In DČLO,F,
547,Alois,Simonides,,,,,,,,M,
548,Josef,Šimon,1862-06-15,1937-10-04,Horní Stakory (u Mladé Boleslavi),Praha,,,,M,
549,Josef,Šír,1859-01-07,1920-05-08,Horní Branná (u Jilemnice),Příchovice (u Tanvaldu),Branná (u Jilemnice),,,M,
550,František,Sís,1878-09-15,1938-08-17,Maršov (u Tišnova),Praha,,,,M,
551,Prokop,Skalický,1872-12-21,1955-07-05,Praha,Praha,,,In DČLO,M,
552,František,Skalík,1867-01-22,1904-12-10,Ostrožská Nová Ves (u Uherského Hradiště),Ostrožská Nová Ves (u Uherského Hradiště),Nová Ves (u Uherského Hradiště),Nová Ves (u Uherského Hradiště),,M,
553,Alois,Škampa,1861-05-30,1907-05-14,Praha,Praha,,,,M,
554,Julius,Skarlandt,1879-01-31,1950-04-30,Praha-Žižkov,Praha,Žižkov,,,M,
557,Josef Václav,Sládek,1845-10-27,1912-06-28,Zbiroh,Zbiroh,,,,M,
559,Marie,Slavinská,,,,,,,,F,
560,J.XX K.XX,Šlechta,,,,,,,Jedná se o Jana Emila Šlechtu (in Lexikon)? Nicméně příspěvek v ČEKu připisovaný Šlechtou J.K. u Jana Emila v Lexikonu není uveden…,M,
561,Alois Vojtěch,Šmilovský,1837-01-24,1883-06-20,Mladá Boleslav,Litomyšl,,,,M,
563,Gustav,Smolik,,,,,,,,M,
564,Gustav,Smolík,,,,,,,Viz ř. 564,M,
566,Karel St.,Smutný,,,,,,,,M,
567,Antonín,Šnajdauf,1860-06-12,1951-11-11,Kožlany,Praha,,,,M,
568,Karel Sudimír,Šnajdr,1766-12-14,1835-05-17,Hradec Králové,Smidary,,,,M,
569,Václav,Šnajdr,1847-09-26,1920-09-04,České Budějovice,"Pasadena (Kalifornie, USA)",,,In DČLO,M,
570,Jan,Snášel,,,,,,,,M,
571,Jan Erazim,Sojka,1828-12-02,1887-08-24,Praha,Vídeň (Rakousko),,,,M,
572,Karel,Sokor,,,,,,,,M,
573,Václav,Šolc,1838-12-23,1871-07-14,Sobotka,Sobotka,Předměstí,,,M,
574,František,Soldan,1873-06-27,1938-08-01,Soběsuky (u Prostějova),Praha-Chodov,,Chodov,,M,
575,Josef,Šorm,1873-06-22,1938-02-28,Studenec,Kaňk,,,In DČLO,M,
577,Antonín,Sova,1864-02-26,1928-08-16,Pacov,Pacov,,,,M,
578,Jan,Spáčil-Žeranovský,1857-01-26,1905-01-09,Žešov (u Prostějova),Šternberk,,,,M,
579,Václav,Špála,,,,,,,,M,
580,A.XX,Špale,1875-01-15,1954-12-20,Oltýně,Tábor,,,Celé jméno = Antonín pale; in DČLO,M,
581,Ervín,Špindler,1843-08-29,1918-12-17,Choceň,Roudnice nad Labem,,,,M,
582,Václav,Stach,1754-10-16,1831-05-24,Přeštic (u Klatov),Vídeň (Rakousko),,,,M,
584,Antal,Stašek,1843-07-22,1931-10-09,Stanov (u Vysokého nad Jizerou),Praha-Krč,Stanový (u Vysokého nad Jizerou),Dolní Krč,,M,
585,Alfons Bohumil,Šťastný,1866-07-30,1922-03-24,Praha-Smíchov,Praha,Smíchov,,,M,
586,Václav,Štech,1859-04-29,1947-02-23,Kladno,Praha,,,,M,
587,Jindřich,Štemberka,1867-03-28,1926-10-03,Pecka (u Nové Paky),Rychnov nad Kněžnou,,,,M,
588,Václav,Štěpán,,,,,,,,M,
590,Josef Boleslav,Pecka,1849-09-19,1897-07-25,Praha,Chicago (USA),,,,M,
594,Antonín,Štrauch,1831-03-13,1877-01-20,Jičíněves,Jičín,,,,M,
595,František,Střížkovský,,,,,,,,M,
596,Josef,Navrátil,1868-03-31,1935-11-26,Holešov,Přerov,,,Pseud. Rudolf Stupavský; in DČLO,M,
597,Božena,Studničková,1849-01-31,1934-11-25,Praha,Praha,,,,F,
598,Václav Svatopluk,Štulc,1814-12-20,1887-08-09,Kladno,Praha,,,,M,
599,Rudolf,Stupavský,,,,,,,Viz ř. 597,M,
600,František,Stupecký,,,,,,,,M,
601,Pavel,Sula,1882-03-03,1975-07-27,Svojšice (u Přelouče),Praha,,,,M,
602,František,Sušil,1804-06-14,1868-05-31,Rousínov (u Vyškova),Bystřice pod Hostýnem,,,,M,
603,Jan,Svárovský,,,,,,,Datum narození: 1872; in DČLO,M,
604,František,Švejda,1878-11-03,1937-06-24,Nemyšl (u Tábora),Praha,,,,M,
605,Boleslav,Světelský,,,,,,,Jedná se o Světelský (vl.jm. Koho Leopold) in DČLO (?),M,
606,Karolína,Světlá,1830-02-24,1899-09-07,Praha,Praha,,,,F,
607,František,Svoboda,,,,,,,Zjistit o jakého Františka Svobodu se jedná in DČLO (?),M,
608,František Xaver,Svoboda,1860-10-25,1943-05-25,Mníšek pod Brdy,Praha,,,,M,
609,Růžena,Svobodová,1868-07-10,1920-01-01,Mikulovice (u Znojma),Praha,,,,F,
610,Matěj Josef,Sychra,1776-12-21,1830-03-19,Ústí nad Orlicí,Žďár nad Sázavou,Oustí,Zámek Žďár,,M,
611,Antonín,Novotný,1871-01-18,,Slavětín,?,,,In DČLO,M,
612,Bohuš,Sýkora,,,,,,,,M,
613,František,Syrový,1888-07-14,1952-06-02,Praha,Praha,,,In DČLO,M,
614,Bohuslav,Tablic,1769-09-06,1832-01-23,České Brezovo,Kostolné Moravce,,,In DČLO,M,
615,František,Táborský,1858-01-16,1940-06-21,Bystřice pod Hostýnem,Praha,,,,M,
616,Otakar,Tauber,1872-12-08,1940-10-27,Veselí (u Litovle),Olomouc,,,Nenašla jsem žádné Veselí u Litovle (?); in DČLO,M,
617,František,Taufer,1885-04-02,,Němčice nad Hanou,?,Němčice na Hané,,Datum a místo úmrtí: z 22. na 23.07.1915 bojiště u Lublinu (Polsko),M,
618,Karel,Teichmann,1879-05-19,1959-09-25,Dvůr Králové nad Labem,Předbořice-Kovářov (u Milevska),Dvůr Králové,Předbořice (u Milevska),,M,
619,Josef,Tesař,1849-02-04,1903-01-08,Bavorov,Praha-Vinohrady,,Královské Vinohrady,Jako datum úmrtí bývá též uváděno 09.01. (dle Lexikonu),M,
620,Marie,Těšínská,,,,,,,,F,
621,Václav,Thám,1765-10-26,,Praha,?,,,Datum a místo úmrtí: 1816 neznámé místo v Haliči,M,
622,Otakar,Theer,1880-02-16,1917-12-20,"Černovcy (v Bukovině, Ukrajina)",Praha-Vinohrady,"Černovice (v Bukovině, Ukrajina)",Královské Vinohrady,,M,
